Datum,Kapazität in kWh,Restkapazität in kWh,Einspeisung in kWh
2030-10-19 11:45:00,9250000.0,9242443.217606585,-7556.782393414278
2030-10-19 12:00:00,9250000.0,9242497.03203625,-7502.967963750367
2030-10-19 12:15:00,9250000.0,9242664.735061713,-7335.264938286644
2030-10-19 12:30:00,9250000.0,9242835.342636697,-7164.657363303673
2030-10-19 12:45:00,9250000.0,9242852.572852742,-7147.427147258462
2030-10-19 13:00:00,9250000.0,9243069.780761369,-6930.21923863164
2030-10-19 13:15:00,9250000.0,9243186.764368203,-6813.235631797354
2030-10-19 13:30:00,9250000.0,9243224.452705504,-6775.547294496246
2030-10-19 13:45:00,9250000.0,9243359.828065258,-6640.1719347429935
2030-10-19 14:00:00,9250000.0,9243328.427598003,-6671.572401996371
2030-10-19 14:15:00,9250000.0,9243334.190285439,-6665.809714561761
2030-10-19 14:30:00,9250000.0,9242881.589975048,-7118.410024951221
2030-10-19 14:45:00,9250000.0,9242546.150002252,-7453.849997746807
2030-10-19 15:00:00,9250000.0,9242178.029676935,-7821.970323064443
2030-10-19 15:15:00,9250000.0,9241903.459183184,-8096.54081681541
2030-10-19 15:30:00,9250000.0,9241751.78204155,-8248.217958450008
2030-10-19 15:45:00,9250000.0,9241627.939543908,-8372.060456090783
2030-10-19 16:00:00,9250000.0,9241107.849839406,-8892.150160594836
2030-10-19 16:15:00,9250000.0,9241099.424977174,-8900.575022826499
2030-10-19 16:30:00,9250000.0,9240962.666885078,-9037.333114922261
2030-10-19 16:45:00,9250000.0,9240709.2391078,-9290.760892199956
2030-10-19 17:00:00,9250000.0,9240492.913128749,-9507.086871250838
2030-10-19 17:15:00,9250000.0,9240230.588756934,-9769.411243066872
2030-10-19 17:30:00,9250000.0,9239741.64850405,-10258.351495950212
2030-10-19 17:45:00,9250000.0,9239468.911671024,-10531.088328975695
2030-10-19 18:00:00,9250000.0,9239421.164105732,-10578.835894267542
2030-10-19 18:15:00,9250000.0,9239327.9770918,-10672.022908200193
2030-10-19 18:30:00,9250000.0,9239115.520813348,-10884.479186652417
2030-10-19 18:45:00,9250000.0,9239079.957923857,-10920.042076142929
2030-10-19 19:00:00,9250000.0,9239390.868096175,-10609.13190382558
2030-10-19 19:15:00,9250000.0,9239802.071682358,-10197.92831764256
2030-10-19 19:30:00,9250000.0,9240239.962391576,-9760.037608423592
2030-10-19 19:45:00,9250000.0,9240597.248987269,-9402.751012731294
2030-10-19 20:00:00,9250000.0,9241131.051218845,-8868.948781155304
2030-10-19 20:15:00,9250000.0,9241529.205686554,-8470.79431344476
2030-10-19 20:30:00,9250000.0,9241867.222900797,-8132.77709920421
2030-10-19 20:45:00,9250000.0,9242475.208047267,-7524.791952732328
2030-10-19 21:00:00,9250000.0,9243089.99890456,-6910.001095440548
2030-10-19 21:15:00,9250000.0,9243761.824518997,-6238.175481002616
2030-10-19 21:30:00,9250000.0,9244334.084776998,-5665.915223001859
2030-10-19 21:45:00,9250000.0,9244776.144585907,-5223.855414093265
2030-10-19 22:00:00,9250000.0,9244871.018309096,-5128.981690904893
2030-10-19 22:15:00,9250000.0,9245128.61714676,-4871.382853239114
2030-10-19 22:30:00,9250000.0,9245451.708287926,-4548.291712072909
2030-10-19 22:45:00,9250000.0,9245819.729107507,-4180.270892494276
2030-10-19 23:00:00,9250000.0,9246308.945564108,-3691.0544358926745
2030-10-19 23:15:00,9250000.0,9246667.419561667,-3332.5804383324885
2030-10-19 23:30:00,9250000.0,9247059.62877562,-2940.371224378361
2030-10-19 23:45:00,9250000.0,9247252.839595335,-2747.1604046662233
2030-10-20 00:00:00,9250000.0,9247562.409928322,-2437.590071678733
2030-10-20 00:15:00,9250000.0,9248093.064625349,-1906.9353746510315
2030-10-20 00:30:00,9250000.0,9248201.822660632,-1798.1773393676722
2030-10-20 00:45:00,9250000.0,9248287.495983994,-1712.5040160064564
2030-10-20 01:00:00,9250000.0,9248045.30235413,-1954.6976458693534
2030-10-20 01:15:00,9250000.0,9248139.709499719,-1860.2905002806
2030-10-20 01:30:00,9250000.0,9248197.560845727,-1802.4391542736885
2030-10-20 01:45:00,9250000.0,9248276.832919031,-1723.16708096836
2030-10-20 02:00:00,9250000.0,9248852.648161884,-1147.3518381163085
2030-10-20 02:15:00,9250000.0,9249142.578702834,-857.4212971659235
2030-10-20 02:30:00,9250000.0,9249285.941186802,-714.0588131977311
2030-10-20 02:45:00,9250000.0,9249314.869079893,-685.1309201070417
2030-10-20 03:00:00,9250000.0,9249462.266028652,-537.7339713472957
2030-10-20 03:15:00,9250000.0,9249579.137677245,-420.8623227554617
2030-10-20 03:30:00,9250000.0,9249744.28153485,-255.71846514969366
2030-10-20 03:45:00,9250000.0,9249714.877500039,-285.1224999618189
2030-10-20 04:00:00,9250000.0,9249634.069590883,-365.93040911735807
2030-10-20 04:15:00,9250000.0,9249583.06432976,-416.93567023972537
2030-10-20 04:30:00,9250000.0,9249562.236913344,-437.7630866566342
2030-10-20 04:45:00,9250000.0,9249680.54088327,-319.4591167315648
2030-10-20 05:00:00,9250000.0,9249417.000286886,-582.9997131127493
2030-10-20 05:15:00,9250000.0,9249269.769799849,-730.2302001503504
2030-10-20 05:30:00,9250000.0,9248775.517225752,-1224.4827742491307
2030-10-20 05:45:00,9250000.0,9248502.12312239,-1497.8768776102806
2030-10-20 06:00:00,9250000.0,9248391.510859726,-1608.489140274869
2030-10-20 06:15:00,9250000.0,9248287.22109997,-1712.7789000299272
2030-10-20 06:30:00,9250000.0,9248043.216842381,-1956.783157618931
2030-10-20 06:45:00,9250000.0,9247899.134162156,-2100.8658378437576
2030-10-20 07:00:00,9250000.0,9247540.095858952,-2459.9041410488753
2030-10-20 07:15:00,9250000.0,9247626.750447595,-2373.249552405072
2030-10-20 07:30:00,9250000.0,9247672.12265108,-2327.877348920243
2030-10-20 07:45:00,9250000.0,9247747.375161868,-2252.624838132091
2030-10-20 08:00:00,9250000.0,9247975.01446883,-2024.9855311691608
2030-10-20 08:15:00,9250000.0,9247845.772548208,-2154.2274517911683
2030-10-20 08:30:00,9250000.0,9247928.497061701,-2071.5029382992616
2030-10-20 08:45:00,9250000.0,9248157.880048746,-1842.1199512544408
2030-10-20 09:00:00,9250000.0,9248277.419974843,-1722.580025156727
2030-10-20 09:15:00,9250000.0,9248280.349686133,-1719.6503138669614
2030-10-20 09:30:00,9250000.0,9248418.383955117,-1581.6160448835399
2030-10-20 09:45:00,9250000.0,9248447.18975533,-1552.8102446704652
2030-10-20 10:00:00,9250000.0,9249017.85065196,-982.1493480396348
2030-10-20 10:15:00,9250000.0,9249475.714982448,-524.2850175515705
2030-10-20 10:30:00,9250000.0,9249468.118645368,-531.8813546321326
2030-10-20 10:45:00,9250000.0,9249494.533892395,-505.4661076048651
2030-10-20 11:00:00,9250000.0,9249645.576850772,-354.42314922816877
2030-10-20 11:15:00,9250000.0,9249859.402184762,-140.59781523814672
2030-10-20 11:30:00,9250000.0,9250000.0,0.0
2030-10-20 11:45:00,9250000.0,9250000.0,0.0
2030-10-20 12:00:00,9250000.0,9250000.0,0.0
2030-10-20 12:15:00,9250000.0,9250000.0,0.0
2030-10-20 12:30:00,9250000.0,9250000.0,0.0
2030-10-20 12:45:00,9250000.0,9250000.0,0.0
2030-10-20 13:00:00,9250000.0,9250000.0,0.0
2030-10-20 13:15:00,9250000.0,9250000.0,0.0
2030-10-20 13:30:00,9250000.0,9250000.0,0.0
2030-10-20 13:45:00,9250000.0,9250000.0,0.0
2030-10-20 14:00:00,9250000.0,9250000.0,0.0
2030-10-20 14:15:00,9250000.0,9250000.0,0.0
2030-10-20 14:30:00,9250000.0,9250000.0,0.0
2030-10-20 14:45:00,9250000.0,9250000.0,0.0
2030-10-20 15:00:00,9250000.0,9250000.0,0.0
2030-10-20 15:15:00,9250000.0,9250000.0,0.0
2030-10-20 15:30:00,9250000.0,9250000.0,0.0
2030-10-20 15:45:00,9250000.0,9250000.0,0.0
2030-10-20 16:00:00,9250000.0,9250000.0,0.0
2030-10-20 16:15:00,9250000.0,9250000.0,0.0
2030-10-20 16:30:00,9250000.0,9250000.0,0.0
2030-10-20 16:45:00,9250000.0,9250000.0,0.0
2030-10-20 17:00:00,9250000.0,9250000.0,0.0
2030-10-20 17:15:00,9250000.0,9250000.0,0.0
2030-10-20 17:30:00,9250000.0,9250000.0,0.0
2030-10-20 17:45:00,9250000.0,9250000.0,0.0
2030-10-20 18:00:00,9250000.0,9250000.0,0.0
2030-10-20 18:15:00,9250000.0,9250000.0,0.0
2030-10-20 18:30:00,9250000.0,9250000.0,0.0
2030-10-20 18:45:00,9250000.0,9250000.0,0.0
2030-10-20 19:00:00,9250000.0,9250000.0,0.0
2030-10-20 19:15:00,9250000.0,9250000.0,0.0
2030-10-20 19:30:00,9250000.0,9250000.0,0.0
