Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Flexipowerplant Einspeisung in MWh,EE + Speicher + Flexible in MWh
2030-06-26 07:15:00,4014.6252772812995,0.0,-9453.930057700232,13468.55533498153
2030-06-26 07:30:00,4101.149068102308,0.0,-9639.155650410734,13740.304718513042
2030-06-26 07:45:00,4208.249475461149,0.0,-9836.054891239202,14044.304366700351
2030-06-26 08:00:00,4336.597337539635,0.0,-9940.206407789745,14276.80374532938
2030-06-26 08:15:00,4384.962907547089,0.0,-10157.339790588287,14542.302698135376
2030-06-26 08:30:00,4456.053387431186,0.0,-10232.74880098017,14688.802188411355
2030-06-26 08:45:00,4636.907912068461,0.0,-10069.393174863959,14706.30108693242
2030-06-26 09:00:00,4737.391223234762,0.0,-10005.658398470205,14743.049621704966
2030-06-26 09:15:00,4750.672197532764,0.0,-10166.1260151184,14916.798212651163
2030-06-26 09:30:00,4777.162294123142,0.0,-10312.635145619692,15089.797439742833
2030-06-26 09:45:00,4786.36709166833,0.0,-10497.679030875184,15284.046122543514
2030-06-26 10:00:00,4734.904957990122,0.0,-10560.389457744586,15295.294415734708
2030-06-26 10:15:00,4716.100307424762,0.0,-10607.693499925337,15323.793807350099
2030-06-26 10:30:00,4748.839683514483,0.0,-10618.954385082774,15367.794068597257
2030-06-26 10:45:00,4707.621229687518,0.0,-10646.422330321931,15354.04356000945
2030-06-26 11:00:00,4743.031906814182,0.0,-10686.51086934576,15429.542776159942
2030-06-26 11:15:00,4742.486671866016,0.0,-10732.055911037041,15474.542582903057
2030-06-26 11:30:00,4683.87994237129,0.0,-10730.412319165875,15414.292261537164
2030-06-26 11:45:00,4582.614321975539,0.0,-10874.42769657584,15457.04201855138
2030-06-26 12:00:00,4505.00910576696,0.0,-10934.782666132949,15439.791771899909
2030-06-26 12:15:00,4368.3298624254,0.0,-10963.71137109183,15332.04123351723
2030-06-26 12:30:00,4295.967610747199,0.0,-11076.323063816299,15372.290674563497
2030-06-26 12:45:00,4276.2964397752785,0.0,-11112.243924788187,15388.540364563465
2030-06-26 13:00:00,4248.612443832278,0.0,-11216.677467367084,15465.289911199361
2030-06-26 13:15:00,4251.3903413275,0.0,-11113.899475078124,15365.289816405624
2030-06-26 13:30:00,4202.204150766585,0.0,-11071.835196613814,15274.0393473804
2030-06-26 13:45:00,4184.045070897841,0.0,-10951.49454636494,15135.53961726278
2030-06-26 14:00:00,4149.782366501062,0.0,-10962.256907763065,15112.039274264127
2030-06-26 14:15:00,4169.8808236299665,0.0,-10937.407975588867,15107.288799218833
2030-06-26 14:30:00,4090.9082425061947,0.0,-10978.63021493588,15069.538457442075
2030-06-26 14:45:00,4045.1715093689822,0.0,-11006.867427596186,15052.038936965168
2030-06-26 15:00:00,3955.524414451277,0.0,-11070.2647459121,15025.789160363376
2030-06-26 15:15:00,3822.823249270173,0.0,-11098.216521146742,14921.039770416915
2030-06-26 15:30:00,3634.1586791659383,0.0,-11173.381692654391,14807.54037182033
2030-06-26 15:45:00,3563.5539884668074,0.0,-11181.236680594437,14744.790669061244
2030-06-26 16:00:00,3587.9951897361307,0.0,-11030.79587922385,14618.791068959981
2030-06-26 16:15:00,3488.113574619263,0.0,-11075.678196759105,14563.791771378368
2030-06-26 16:30:00,3485.3247589933767,0.0,-11165.96773283751,14651.292491830885
